time	zone	type	price
2017-11-27T23:57:04.000Z	us-east-1d	c4.4xlarge	0.2398
2017-11-27T23:48:36.000Z	us-east-1d	c4.4xlarge	0.2399
2017-11-27T23:39:14.000Z	us-east-1d	c4.4xlarge	0.24
2017-11-27T23:38:08.000Z	us-east-1d	c4.4xlarge	0.2402
2017-11-27T23:35:12.000Z	us-east-1d	c4.4xlarge	0.2403
2017-11-27T23:34:02.000Z	us-east-1d	c4.4xlarge	0.2404
2017-11-27T23:28:28.000Z	us-east-1d	c4.4xlarge	0.2405
2017-11-27T23:23:18.000Z	us-east-1d	c4.4xlarge	0.2406
2017-11-27T23:22:26.000Z	us-east-1d	c4.4xlarge	0.2405
2017-11-27T23:18:16.000Z	us-east-1d	c4.4xlarge	0.2406
2017-11-27T23:17:08.000Z	us-east-1d	c4.4xlarge	0.2407
2017-11-27T23:15:12.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T23:15:10.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T23:14:00.000Z	us-east-1d	c4.4xlarge	0.2411
2017-11-27T23:13:02.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T23:11:00.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T23:10:00.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T23:05:40.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T22:57:18.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T22:56:41.000Z	us-east-1d	c4.4xlarge	0.242
2017-11-27T22:55:50.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T22:55:45.000Z	us-east-1d	c4.4xlarge	0.242
2017-11-27T22:55:16.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T22:51:33.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T22:50:07.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T22:50:03.000Z	us-east-1d	c4.4xlarge	0.242
2017-11-27T22:49:57.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T22:49:13.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T22:48:25.000Z	us-east-1d	c4.4xlarge	0.2417
2017-11-27T22:47:49.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T22:46:51.000Z	us-east-1d	c4.4xlarge	0.2417
2017-11-27T22:46:34.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T22:46:03.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T22:45:49.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T22:45:39.000Z	us-east-1d	c4.4xlarge	0.2413
2017-11-27T22:45:25.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T22:44:07.000Z	us-east-1d	c4.4xlarge	0.2413
2017-11-27T22:42:17.000Z	us-east-1d	c4.4xlarge	0.2412
2017-11-27T22:42:07.000Z	us-east-1d	c4.4xlarge	0.2411
2017-11-27T22:42:05.000Z	us-east-1d	c4.4xlarge	0.241
2017-11-27T22:41:39.000Z	us-east-1d	c4.4xlarge	0.2409
2017-11-27T22:37:55.000Z	us-east-1d	c4.4xlarge	0.2408
2017-11-27T22:37:53.000Z	us-east-1d	c4.4xlarge	0.2407
